Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

AD03.img	Telencephalon_L	532695	28.0000	1396.0000	541.0004	147.8106	
AD03.img	Telencephalon_R	534596	35.0000	965.0000	522.3747	143.2927	
AD03.img	Diencephalon_L	8041	106.0000	679.0000	480.7933	67.7716	
AD03.img	Diencephalon_R	7919	97.0000	671.0000	466.6644	62.9553	
AD03.img	Mesencephalon	10756	104.0000	625.0000	494.2884	54.2740	
AD03.img	Metencephalon	159684	40.0000	635.0000	404.0997	86.5051	
AD03.img	Myelencephalon	4734	89.0000	522.0000	385.8692	54.6092	
AD03.img	CSF	168438	24.0000	721.0000	161.9054	88.5273	



Type1-L2 Statistics

AD03.img	CerebralCortex_L	270684	28.0000	1396.0000	453.4470	136.4290	
AD03.img	CerebralCortex_R	268634	35.0000	920.0000	439.0528	128.6702	
AD03.img	CerebralNucli_L	12500	45.0000	701.0000	489.8706	81.3392	
AD03.img	CerebralNucli_R	14124	56.0000	686.0000	437.9307	115.5659	
AD03.img	Thalamus_L	5220	162.0000	602.0000	474.4585	51.8929	
AD03.img	Thalamus_R	5202	168.0000	585.0000	460.9824	49.4695	
AD03.img	BasalForebrain_L	2822	106.0000	679.0000	492.5133	88.8640	
AD03.img	BasalForebrain_R	2717	97.0000	671.0000	477.5431	81.7679	
AD03.img	Mesencephalon_L	5232	193.0000	625.0000	501.9798	49.6958	
AD03.img	Mesencephalon_R	5525	104.0000	618.0000	487.0052	57.3354	
AD03.img	Metencephalon_R	78966	40.0000	576.0000	394.8644	78.1550	
AD03.img	Metencephalon_L	80719	47.0000	635.0000	413.1344	93.0760	
AD03.img	Myelencephalon_L	2107	115.0000	522.0000	390.2579	60.8558	
AD03.img	Myelencephalon_R	2628	89.0000	459.0000	382.3509	48.7454	
AD03.img	WhiteMatter_L	249512	36.0000	1084.0000	638.5444	90.3259	
AD03.img	WhiteMatter_R	251840	56.0000	965.0000	615.9886	92.7811	
AD03.img	Ventricle	103846	24.0000	710.0000	137.4096	75.7034	
AD03.img	Sulcus_L	36010	36.0000	721.0000	198.5738	91.8413	
AD03.img	Sulcus_R	28584	25.0000	637.0000	204.7065	95.0253	



Type1-L3 Statistics

AD03.img	Frontal_L	86064	41.0000	1396.0000	493.3096	151.6752	
AD03.img	Frontal_R	85418	35.0000	920.0000	489.2819	136.4774	
AD03.img	Parietal_L	39470	52.0000	820.0000	476.0517	127.1478	
AD03.img	Parietal_R	43333	55.0000	762.0000	461.8163	119.0253	
AD03.img	Temporal_L	66233	44.0000	720.0000	400.6395	112.6294	
AD03.img	Temporal_R	62805	46.0000	693.0000	373.4462	92.8493	
AD03.img	Limbic_L	32693	28.0000	794.0000	418.1203	109.0627	
AD03.img	Limbic_R	34155	51.0000	852.0000	397.6463	113.5572	
AD03.img	Occipital_L	40081	71.0000	789.0000	475.9149	126.7236	
AD03.img	Occipital_R	37187	51.0000	770.0000	454.8388	127.1018	
AD03.img	Insula_L	7718	44.0000	650.0000	365.8335	114.6221	
AD03.img	Insula_R	7609	54.0000	696.0000	381.0574	94.7015	
AD03.img	BasalGang_L	10928	55.0000	701.0000	504.7314	70.7843	
AD03.img	BasalGang_R	12253	56.0000	686.0000	446.9032	120.5166	
AD03.img	Thalamus_L	5220	162.0000	602.0000	474.4585	51.8929	
AD03.img	Thalamus_R	5202	168.0000	585.0000	460.9824	49.4695	
AD03.img	BasalForebrain_L	2822	106.0000	679.0000	492.5133	88.8640	
AD03.img	BasalForebrain_R	2717	97.0000	671.0000	477.5431	81.7679	
AD03.img	midbrain_L	5232	193.0000	625.0000	501.9798	49.6958	
AD03.img	midbrain_R	5525	104.0000	618.0000	487.0052	57.3354	
AD03.img	Cerebellum_R	69643	40.0000	576.0000	388.4911	79.8720	
AD03.img	Cerebellum_L	72212	47.0000	635.0000	407.7786	95.8668	
AD03.img	Pons_L	8508	130.0000	567.0000	458.5968	43.3239	
AD03.img	Pons_R	9324	133.0000	555.0000	442.4700	38.8816	
AD03.img	Medulla_L	2107	115.0000	522.0000	390.2579	60.8558	
AD03.img	Medulla_R	2628	89.0000	459.0000	382.3509	48.7454	
AD03.img	AnteriorWM_L	85270	115.0000	1084.0000	685.9135	97.3726	
AD03.img	AnteriorWM_R	89692	57.0000	965.0000	666.1588	91.0658	
AD03.img	PosteriorWM_L	75062	75.0000	816.0000	642.0248	69.6039	
