Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

AD01.img	Telencephalon_L	519141	2.0000	1415.0000	599.5082	186.6690	
AD01.img	Telencephalon_R	532513	0.0000e+00	1115.0000	597.5057	186.0134	
AD01.img	Diencephalon_L	7990	92.0000	953.0000	694.9963	108.0463	
AD01.img	Diencephalon_R	7603	134.0000	1120.0000	692.3278	101.5701	
AD01.img	Mesencephalon	9155	117.0000	1008.0000	761.2615	95.1095	
AD01.img	Metencephalon	147153	0.0000e+00	948.0000	556.7519	142.0819	
AD01.img	Myelencephalon	4183	41.0000	928.0000	606.8520	111.7597	
AD01.img	CSF	192959	0.0000e+00	905.0000	155.0773	89.8633	



Type1-L2 Statistics

AD01.img	CerebralCortex_L	271036	2.0000	1415.0000	471.0822	150.7531	
AD01.img	CerebralCortex_R	279708	0.0000e+00	1115.0000	466.0764	146.1543	
AD01.img	CerebralNucli_L	12087	23.0000	939.0000	604.5299	187.3334	
AD01.img	CerebralNucli_R	11825	39.0000	919.0000	650.0356	129.2599	
AD01.img	Thalamus_L	5510	152.0000	894.0000	700.1430	95.8328	
AD01.img	Thalamus_R	5212	191.0000	872.0000	692.3853	85.3527	
AD01.img	BasalForebrain_L	2480	92.0000	953.0000	683.5602	130.4506	
AD01.img	BasalForebrain_R	2391	134.0000	1120.0000	692.2025	130.0904	
AD01.img	Mesencephalon_L	4609	258.0000	1008.0000	766.9341	87.3463	
AD01.img	Mesencephalon_R	4546	117.0000	990.0000	755.5100	102.0600	
AD01.img	Metencephalon_R	73774	0.0000e+00	948.0000	557.5609	140.8638	
AD01.img	Metencephalon_L	73379	0.0000e+00	937.0000	555.9385	143.2914	
AD01.img	Myelencephalon_L	2031	86.0000	928.0000	600.2483	124.3429	
AD01.img	Myelencephalon_R	2153	41.0000	785.0000	613.0804	98.0215	
AD01.img	WhiteMatter_L	236018	27.0000	1022.0000	746.7315	90.1842	
AD01.img	WhiteMatter_R	240982	55.0000	1039.0000	747.4784	90.3866	
AD01.img	Ventricle	115593	0.0000e+00	905.0000	148.7301	94.5855	
AD01.img	Sulcus_L	40291	0.0000e+00	648.0000	166.2221	82.4315	
AD01.img	Sulcus_R	37076	0.0000e+00	547.0000	162.7556	80.1978	



Type1-L3 Statistics

AD01.img	Frontal_L	89817	4.0000	1415.0000	482.3843	148.5412	
AD01.img	Frontal_R	91680	5.0000	1115.0000	486.3200	141.7557	
AD01.img	Parietal_L	44728	10.0000	883.0000	461.4145	158.1111	
AD01.img	Parietal_R	47207	0.0000e+00	822.0000	446.3589	151.3898	
AD01.img	Temporal_L	59575	9.0000	835.0000	458.9213	139.4714	
AD01.img	Temporal_R	63028	6.0000	795.0000	452.3131	135.9053	
AD01.img	Limbic_L	32505	2.0000	965.0000	488.2259	161.2880	
AD01.img	Limbic_R	34268	4.0000	969.0000	483.4669	155.1708	
AD01.img	Occipital_L	38992	13.0000	850.0000	464.2054	153.8044	
AD01.img	Occipital_R	37521	0.0000e+00	885.0000	451.5015	151.4164	
AD01.img	Insula_L	6854	3.0000	788.0000	474.2058	137.7437	
AD01.img	Insula_R	7616	14.0000	832.0000	477.3540	140.6274	
AD01.img	BasalGang_L	10656	23.0000	939.0000	606.6174	196.3299	
AD01.img	BasalGang_R	10214	39.0000	919.0000	660.1839	131.3787	
AD01.img	Thalamus_L	5510	152.0000	894.0000	700.1430	95.8328	
AD01.img	Thalamus_R	5212	191.0000	872.0000	692.3853	85.3527	
AD01.img	BasalForebrain_L	2480	92.0000	953.0000	683.5602	130.4506	
AD01.img	BasalForebrain_R	2391	134.0000	1120.0000	692.2025	130.0904	
AD01.img	midbrain_L	4609	258.0000	1008.0000	766.9341	87.3463	
AD01.img	midbrain_R	4546	117.0000	990.0000	755.5100	102.0600	
AD01.img	Cerebellum_R	65612	0.0000e+00	872.0000	536.4553	132.7117	
AD01.img	Cerebellum_L	66071	0.0000e+00	880.0000	537.2299	136.4106	
AD01.img	Pons_L	7308	160.0000	937.0000	725.0828	78.4749	
AD01.img	Pons_R	8163	153.0000	948.0000	727.2159	73.5280	
AD01.img	Medulla_L	2031	86.0000	928.0000	600.2483	124.3429	
AD01.img	Medulla_R	2153	41.0000	785.0000	613.0804	98.0215	
AD01.img	AnteriorWM_L	84649	78.0000	983.0000	755.4825	79.0555	
AD01.img	AnteriorWM_R	88344	104.0000	1001.0000	766.0597	81.8520	
