Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

AD04_MNI.img	Telencephalon_L	438521	2.9732	234.2902	84.3003	27.2028	
AD04_MNI.img	Telencephalon_R	424928	2.8631	222.7291	83.4171	27.9627	
AD04_MNI.img	Diencephalon_L	5758	19.7991	132.9634	101.6470	14.4224	
AD04_MNI.img	Diencephalon_R	5621	14.7720	200.2319	99.4170	17.0669	
AD04_MNI.img	Mesencephalon	7795	43.4392	167.2932	112.6734	12.3395	
AD04_MNI.img	Metencephalon	120339	2.7599	143.3242	84.7532	22.0953	
AD04_MNI.img	Myelencephalon	3644	37.1977	188.1670	99.8112	18.7293	
AD04_MNI.img	CSF	169102	1.5035	105.7030	23.3328	10.8634	



Type1-L2 Statistics

AD04_MNI.img	CerebralCortex_L	231176	2.9732	167.3491	66.9694	20.4735	
AD04_MNI.img	CerebralCortex_R	224774	2.8631	184.4952	65.1859	21.2042	
AD04_MNI.img	CerebralNucli_L	11038	7.9094	133.9619	75.7864	33.5169	
AD04_MNI.img	CerebralNucli_R	12040	5.2916	139.4009	67.2662	37.0159	
AD04_MNI.img	Thalamus_L	3823	31.8660	130.7178	103.2570	11.6689	
AD04_MNI.img	Thalamus_R	3874	21.2811	129.9849	101.5165	13.6739	
AD04_MNI.img	BasalForebrain_L	1935	19.7991	132.9634	98.4661	18.2949	
AD04_MNI.img	BasalForebrain_R	1747	14.7720	200.2319	94.7614	22.1613	
AD04_MNI.img	Mesencephalon_L	3885	51.9272	140.2558	113.7935	11.0171	
AD04_MNI.img	Mesencephalon_R	3910	43.4392	167.2932	111.5604	13.4338	
AD04_MNI.img	Metencephalon_R	60437	2.7599	143.3242	83.5619	22.1221	
AD04_MNI.img	Metencephalon_L	59902	7.2755	142.2501	85.9552	22.0030	
AD04_MNI.img	Myelencephalon_L	1742	37.1977	135.3589	97.1165	18.9061	
AD04_MNI.img	Myelencephalon_R	1902	39.5070	188.1670	102.2791	18.2196	
AD04_MNI.img	WhiteMatter_L	196307	5.0486	234.2902	105.1885	17.3825	
AD04_MNI.img	WhiteMatter_R	188114	5.6236	222.7291	106.2351	14.3810	
AD04_MNI.img	Ventricle	94145	1.5035	102.7246	22.1841	11.3719	
AD04_MNI.img	Sulcus_L	40757	2.0428	105.7030	25.6639	10.1662	
AD04_MNI.img	Sulcus_R	34200	2.2749	101.4985	23.7169	9.7008	



Type1-L3 Statistics

AD04_MNI.img	Frontal_L	70114	5.3322	146.6115	68.6999	20.8510	
AD04_MNI.img	Frontal_R	68056	4.8169	138.7262	68.9508	20.3703	
AD04_MNI.img	Parietal_L	37029	4.8128	114.9303	70.0997	18.5112	
AD04_MNI.img	Parietal_R	37351	6.4197	118.2804	67.8827	20.1264	
AD04_MNI.img	Temporal_L	52408	2.9732	167.3491	65.0304	18.8236	
AD04_MNI.img	Temporal_R	48537	4.1388	168.5686	61.0548	20.5378	
AD04_MNI.img	Limbic_L	28885	3.5563	133.3205	65.1669	21.6778	
AD04_MNI.img	Limbic_R	31873	2.8631	184.4952	61.3394	23.4917	
AD04_MNI.img	Occipital_L	36352	4.7537	164.0720	66.4556	21.2531	
AD04_MNI.img	Occipital_R	32866	7.2973	179.4381	65.8219	19.5092	
AD04_MNI.img	Insula_L	7477	5.7342	160.8633	60.6240	24.4758	
AD04_MNI.img	Insula_R	7249	5.3134	163.0717	59.9022	25.9729	
AD04_MNI.img	BasalGang_L	9949	7.9094	133.9619	74.9979	34.9149	
AD04_MNI.img	BasalGang_R	10882	5.2916	139.4009	65.9765	38.3703	
AD04_MNI.img	Thalamus_L	3823	31.8660	130.7178	103.2570	11.6689	
AD04_MNI.img	Thalamus_R	3874	21.2811	129.9849	101.5165	13.6739	
AD04_MNI.img	BasalForebrain_L	1935	19.7991	132.9634	98.4661	18.2949	
AD04_MNI.img	BasalForebrain_R	1747	14.7720	200.2319	94.7614	22.1613	
AD04_MNI.img	midbrain_L	3885	51.9272	140.2558	113.7935	11.0171	
AD04_MNI.img	midbrain_R	3910	43.4392	167.2932	111.5604	13.4338	
AD04_MNI.img	Cerebellum_R	54604	2.7599	135.7685	80.8577	21.3100	
AD04_MNI.img	Cerebellum_L	54308	7.2755	142.2501	83.3018	21.1777	
AD04_MNI.img	Pons_L	5594	51.8162	140.2323	111.7147	9.9106	
AD04_MNI.img	Pons_R	5833	49.1560	143.3242	108.8768	10.4998	
