Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

AD05_MNI.img	Telencephalon_L	406934	16.1843	237.0137	120.6029	37.0187	
AD05_MNI.img	Telencephalon_R	426211	15.5535	203.1558	120.8261	36.9363	
AD05_MNI.img	Diencephalon_L	5990	26.9631	191.7613	141.5055	20.8802	
AD05_MNI.img	Diencephalon_R	5303	31.9752	188.9026	141.7211	22.0358	
AD05_MNI.img	Mesencephalon	7638	73.1633	204.9819	159.2820	16.4842	
AD05_MNI.img	Metencephalon	106733	20.3099	190.6411	120.8681	29.8768	
AD05_MNI.img	Myelencephalon	3961	55.7982	186.1592	137.8233	23.6455	
AD05_MNI.img	CSF	164206	10.5488	146.8907	40.5750	13.8451	



Type1-L2 Statistics

AD05_MNI.img	CerebralCortex_L	204389	16.1843	237.0137	92.9774	28.9262	
AD05_MNI.img	CerebralCortex_R	205536	15.5535	199.4608	94.6362	27.6970	
AD05_MNI.img	CerebralNucli_L	10538	25.7057	183.4318	124.3427	23.2779	
AD05_MNI.img	CerebralNucli_R	15547	20.8405	189.4622	95.6873	45.3395	
AD05_MNI.img	Thalamus_L	3751	61.7511	182.3607	144.2381	14.2375	
AD05_MNI.img	Thalamus_R	3252	31.9752	188.0903	142.4499	20.7841	
AD05_MNI.img	BasalForebrain_L	2239	26.9631	191.7613	136.9276	28.1660	
AD05_MNI.img	BasalForebrain_R	2051	40.0141	188.9026	140.5656	23.8408	
AD05_MNI.img	Mesencephalon_L	3929	73.1633	197.1842	158.7763	15.7089	
AD05_MNI.img	Mesencephalon_R	3709	74.3219	204.9819	159.8178	17.2515	
AD05_MNI.img	Metencephalon_R	53058	23.6302	190.1448	121.2251	29.4103	
AD05_MNI.img	Metencephalon_L	53675	20.3099	190.6411	120.5152	30.3268	
AD05_MNI.img	Myelencephalon_L	1829	55.7982	186.1592	137.8993	25.4112	
AD05_MNI.img	Myelencephalon_R	2132	60.7676	181.8837	137.7581	22.0180	
AD05_MNI.img	WhiteMatter_L	192007	26.2808	192.4122	149.8047	17.8334	
AD05_MNI.img	WhiteMatter_R	205128	26.2189	203.1558	148.9735	19.5652	
AD05_MNI.img	Ventricle	101355	15.7532	146.8907	40.3292	15.2933	
AD05_MNI.img	Sulcus_L	34371	13.3211	99.4270	39.9976	10.7302	
AD05_MNI.img	Sulcus_R	28480	10.5488	99.9702	42.1468	11.4369	



Type1-L3 Statistics

AD05_MNI.img	Frontal_L	70213	16.1843	163.2442	93.5902	28.7274	
AD05_MNI.img	Frontal_R	67617	15.9847	173.0342	96.0279	26.7615	
AD05_MNI.img	Parietal_L	30717	22.6666	163.8087	95.9266	30.3791	
AD05_MNI.img	Parietal_R	31197	19.6701	169.2372	97.5769	28.1237	
AD05_MNI.img	Temporal_L	43581	16.9555	156.6430	90.7035	27.9345	
AD05_MNI.img	Temporal_R	44877	16.1167	160.6238	91.0957	26.8874	
AD05_MNI.img	Limbic_L	25758	19.6208	237.0137	92.3625	29.3443	
AD05_MNI.img	Limbic_R	28265	17.2593	199.4608	94.0927	28.7842	
AD05_MNI.img	Occipital_L	29148	19.6902	161.1069	93.4295	28.1761	
AD05_MNI.img	Occipital_R	28834	15.5535	161.5132	94.3643	28.2922	
AD05_MNI.img	Insula_L	6454	22.5985	160.9362	93.8965	30.9963	
AD05_MNI.img	Insula_R	6153	24.1719	163.1552	99.7383	30.3406	
AD05_MNI.img	BasalGang_L	9056	25.7057	183.4318	125.3024	24.1233	
AD05_MNI.img	BasalGang_R	14140	20.8405	189.4622	93.3060	46.6583	
AD05_MNI.img	Thalamus_L	3751	61.7511	182.3607	144.2381	14.2375	
AD05_MNI.img	Thalamus_R	3252	31.9752	188.0903	142.4499	20.7841	
AD05_MNI.img	BasalForebrain_L	2239	26.9631	191.7613	136.9276	28.1660	
AD05_MNI.img	BasalForebrain_R	2051	40.0141	188.9026	140.5656	23.8408	
AD05_MNI.img	midbrain_L	3929	73.1633	197.1842	158.7763	15.7089	
AD05_MNI.img	midbrain_R	3709	74.3219	204.9819	159.8178	17.2515	
AD05_MNI.img	Cerebellum_R	46460	23.6302	183.9466	116.2472	27.6877	
AD05_MNI.img	Cerebellum_L	47435	20.3099	185.7911	115.5404	28.3524	
AD05_MNI.img	Pons_L	6240	63.6140	190.6411	158.3322	13.4964	
AD05_MNI.img	Pons_R	6598	78.0367	190.1448	156.2774	12.4261	
