Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

Normal01_MNI.img	Telencephalon_L	601322	6.2039	190.6726	118.5751	31.4780	
Normal01_MNI.img	Telencephalon_R	611659	4.8936	189.8894	117.6981	32.3006	
Normal01_MNI.img	Diencephalon_L	9171	40.8811	181.7980	137.2988	16.6901	
Normal01_MNI.img	Diencephalon_R	9211	52.7847	180.5486	134.8719	17.3465	
Normal01_MNI.img	Mesencephalon	11705	59.0539	191.2226	148.1599	15.7128	
Normal01_MNI.img	Metencephalon	178805	10.6653	191.9283	116.1460	28.2946	
Normal01_MNI.img	Myelencephalon	5353	43.2371	188.1580	140.8628	21.7702	
Normal01_MNI.img	CSF	95015	0.5465	138.6083	38.8479	19.8928	



Type1-L2 Statistics

Normal01_MNI.img	CerebralCortex_L	309484	6.2039	164.9879	94.0447	22.4632	
Normal01_MNI.img	CerebralCortex_R	312809	4.8936	168.2789	92.2785	23.1023	
Normal01_MNI.img	CerebralNucli_L	14348	52.2447	176.3597	125.9600	18.2441	
Normal01_MNI.img	CerebralNucli_R	14546	60.4072	175.7193	125.6887	17.1355	
Normal01_MNI.img	Thalamus_L	5972	72.5523	168.9906	139.5187	13.5273	
Normal01_MNI.img	Thalamus_R	6037	64.2435	165.7836	135.9532	14.4769	
Normal01_MNI.img	BasalForebrain_L	3199	40.8811	181.7980	133.1546	20.7509	
Normal01_MNI.img	BasalForebrain_R	3174	52.7847	180.5486	132.8154	21.6365	
Normal01_MNI.img	Mesencephalon_L	5875	70.0125	191.2226	149.5678	14.3103	
Normal01_MNI.img	Mesencephalon_R	5830	59.0539	188.7352	146.7412	16.8913	
Normal01_MNI.img	Metencephalon_R	88852	13.7328	191.9283	117.1637	27.9385	
Normal01_MNI.img	Metencephalon_L	89953	10.6653	188.6324	115.1408	28.6064	
Normal01_MNI.img	Myelencephalon_L	2680	43.2371	188.1580	138.6382	25.2547	
Normal01_MNI.img	Myelencephalon_R	2673	62.4231	181.1636	143.0932	17.3123	
Normal01_MNI.img	WhiteMatter_L	277490	34.6077	190.6726	145.5520	12.8660	
Normal01_MNI.img	WhiteMatter_R	284304	39.2290	189.8894	145.2575	12.9871	
Normal01_MNI.img	Ventricle	29286	1.3874	138.6083	45.9458	26.4116	
Normal01_MNI.img	Sulcus_L	33787	0.7102	102.1513	36.2806	15.3059	
Normal01_MNI.img	Sulcus_R	31942	0.5465	99.3333	35.0557	14.9066	



Type1-L3 Statistics

Normal01_MNI.img	Frontal_L	96318	8.8735	158.4639	94.1458	22.5950	
Normal01_MNI.img	Frontal_R	96208	8.9705	152.8885	94.4755	22.5461	
Normal01_MNI.img	Parietal_L	50704	6.2039	151.7394	93.8828	24.0325	
Normal01_MNI.img	Parietal_R	52976	5.9390	155.9408	90.9760	24.6116	
Normal01_MNI.img	Temporal_L	78110	12.0023	163.1668	92.3835	21.1214	
Normal01_MNI.img	Temporal_R	71842	7.1998	168.2789	90.0911	21.5284	
Normal01_MNI.img	Limbic_L	38402	13.3316	155.1155	97.1727	20.9125	
Normal01_MNI.img	Limbic_R	39484	7.1159	153.8067	94.1316	22.2270	
Normal01_MNI.img	Occipital_L	38915	8.4589	164.9879	94.5852	23.7759	
Normal01_MNI.img	Occipital_R	44867	4.8936	163.5523	91.3797	24.8267	
Normal01_MNI.img	Insula_L	9089	9.9095	148.9892	96.0545	21.5582	
Normal01_MNI.img	Insula_R	9890	14.2458	160.8757	95.2873	23.8566	
Normal01_MNI.img	BasalGang_L	12294	61.1199	176.3597	128.7549	17.5323	
Normal01_MNI.img	BasalGang_R	12088	60.4072	175.7193	128.5270	16.6116	
Normal01_MNI.img	Thalamus_L	5972	72.5523	168.9906	139.5187	13.5273	
Normal01_MNI.img	Thalamus_R	6037	64.2435	165.7836	135.9532	14.4769	
Normal01_MNI.img	BasalForebrain_L	3199	40.8811	181.7980	133.1546	20.7509	
Normal01_MNI.img	BasalForebrain_R	3174	52.7847	180.5486	132.8154	21.6365	
Normal01_MNI.img	midbrain_L	5875	70.0125	191.2226	149.5678	14.3103	
Normal01_MNI.img	midbrain_R	5830	59.0539	188.7352	146.7412	16.8913	
Normal01_MNI.img	Cerebellum_R	78927	13.7328	190.7081	113.3888	27.0107	
Normal01_MNI.img	Cerebellum_L	80656	10.6653	184.7432	111.4644	27.5580	
Normal01_MNI.img	Pons_L	9297	56.4395	188.6324	147.0352	13.9522	
