Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

Normal03.img	Telencephalon_L	447999	25.0000	1432.0000	544.5430	160.8572	
Normal03.img	Telencephalon_R	435427	34.0000	1409.0000	552.1103	161.3847	
Normal03.img	Diencephalon_L	6719	123.0000	748.0000	533.4816	74.0251	
Normal03.img	Diencephalon_R	6732	156.0000	745.0000	529.6255	77.8265	
Normal03.img	Mesencephalon	8509	150.0000	746.0000	568.1083	71.2836	
Normal03.img	Metencephalon	135709	27.0000	859.0000	425.8891	100.2724	
Normal03.img	Myelencephalon	3956	89.0000	568.0000	410.6939	69.5648	
Normal03.img	CSF	86489	20.0000	1102.0000	178.2591	91.6400	



Type1-L2 Statistics

Normal03.img	CerebralCortex_L	237838	25.0000	1432.0000	442.9606	142.3448	
Normal03.img	CerebralCortex_R	228147	34.0000	1409.0000	447.7696	141.1025	
Normal03.img	CerebralNucli_L	9071	130.0000	731.0000	534.0636	78.3418	
Normal03.img	CerebralNucli_R	9480	100.0000	757.0000	535.4062	84.9206	
Normal03.img	Thalamus_L	4520	183.0000	713.0000	534.2413	56.8914	
Normal03.img	Thalamus_R	4605	179.0000	706.0000	526.6929	64.3371	
Normal03.img	BasalForebrain_L	2200	123.0000	748.0000	531.9204	100.4290	
Normal03.img	BasalForebrain_R	2127	156.0000	745.0000	535.9767	100.7528	
Normal03.img	Mesencephalon_L	4371	150.0000	727.0000	571.0417	67.3337	
Normal03.img	Mesencephalon_R	4138	166.0000	746.0000	565.0097	75.1068	
Normal03.img	Metencephalon_R	68062	27.0000	653.0000	425.2454	102.5078	
Normal03.img	Metencephalon_L	67648	49.0000	859.0000	426.5366	97.9676	
Normal03.img	Myelencephalon_L	1805	89.0000	568.0000	405.5494	77.9855	
Normal03.img	Myelencephalon_R	2151	91.0000	536.0000	415.0108	61.2847	
Normal03.img	WhiteMatter_L	201091	97.0000	1367.0000	665.1608	81.5213	
Normal03.img	WhiteMatter_R	197801	103.0000	1313.0000	673.2596	82.3176	
Normal03.img	Ventricle	29227	27.0000	724.0000	177.5123	105.8618	
Normal03.img	Sulcus_L	30647	20.0000	1015.0000	182.3940	87.7990	
Normal03.img	Sulcus_R	26617	29.0000	1102.0000	174.3183	77.9187	



Type1-L3 Statistics

Normal03.img	Frontal_L	78967	36.0000	1432.0000	466.4330	165.6310	
Normal03.img	Frontal_R	73288	34.0000	1409.0000	483.5980	154.5581	
Normal03.img	Parietal_L	40692	49.0000	1121.0000	425.6889	142.8932	
Normal03.img	Parietal_R	40178	48.0000	1145.0000	429.7761	147.2483	
Normal03.img	Temporal_L	54555	37.0000	781.0000	423.2422	109.6691	
Normal03.img	Temporal_R	53077	42.0000	765.0000	428.2474	117.0354	
Normal03.img	Limbic_L	26643	25.0000	734.0000	429.7113	106.1578	
Normal03.img	Limbic_R	28347	37.0000	747.0000	415.7774	112.0905	
Normal03.img	Occipital_L	32396	52.0000	872.0000	458.1888	146.9879	
Normal03.img	Occipital_R	28932	54.0000	831.0000	454.2122	146.8733	
Normal03.img	Insula_L	5916	43.0000	631.0000	404.1530	109.2844	
Normal03.img	Insula_R	5757	42.0000	698.0000	420.1843	99.1484	
Normal03.img	BasalGang_L	7741	130.0000	731.0000	551.5584	68.7669	
Normal03.img	BasalGang_R	8052	100.0000	757.0000	552.5156	76.9229	
Normal03.img	Thalamus_L	4520	183.0000	713.0000	534.2413	56.8914	
Normal03.img	Thalamus_R	4605	179.0000	706.0000	526.6929	64.3371	
Normal03.img	BasalForebrain_L	2200	123.0000	748.0000	531.9204	100.4290	
Normal03.img	BasalForebrain_R	2127	156.0000	745.0000	535.9767	100.7528	
Normal03.img	midbrain_L	4371	150.0000	727.0000	571.0417	67.3337	
Normal03.img	midbrain_R	4138	166.0000	746.0000	565.0097	75.1068	
Normal03.img	Cerebellum_R	60757	27.0000	653.0000	415.4531	102.7175	
Normal03.img	Cerebellum_L	61005	49.0000	859.0000	418.0711	98.0672	
Normal03.img	Pons_L	6644	126.0000	646.0000	504.2719	52.1287	
Normal03.img	Pons_R	7305	163.0000	638.0000	506.6917	52.1428	
Normal03.img	Medulla_L	1805	89.0000	568.0000	405.5494	77.9855	
Normal03.img	Medulla_R	2151	91.0000	536.0000	415.0108	61.2847	
Normal03.img	AnteriorWM_L	71052	97.0000	1107.0000	679.9828	75.0984	
Normal03.img	AnteriorWM_R	69866	144.0000	1313.0000	689.7244	77.9005	
