Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

Normal05_MNI.img	Telencephalon_L	420617	13.7789	181.1119	115.2915	28.9951	
Normal05_MNI.img	Telencephalon_R	423001	13.1182	180.3054	114.7602	29.2470	
Normal05_MNI.img	Diencephalon_L	7460	58.7207	166.6093	129.4740	14.6695	
Normal05_MNI.img	Diencephalon_R	7512	47.7317	172.7479	128.4182	15.3429	
Normal05_MNI.img	Mesencephalon	8870	65.2144	180.5701	142.2055	13.4219	
Normal05_MNI.img	Metencephalon	131104	20.8494	178.2206	108.7729	25.5639	
Normal05_MNI.img	Myelencephalon	4865	53.4599	175.7471	129.1952	19.4090	
Normal05_MNI.img	CSF	99486	5.9334	134.5278	36.6533	16.3078	



Type1-L2 Statistics

Normal05_MNI.img	CerebralCortex_L	212201	13.7789	158.8382	92.7372	21.7800	
Normal05_MNI.img	CerebralCortex_R	212479	13.1182	165.0782	91.6863	21.5195	
Normal05_MNI.img	CerebralNucli_L	10161	42.7056	168.3651	118.9602	16.6638	
Normal05_MNI.img	CerebralNucli_R	10699	51.3124	166.3467	121.1059	15.9246	
Normal05_MNI.img	Thalamus_L	4901	59.1915	162.8367	130.2393	12.1797	
Normal05_MNI.img	Thalamus_R	4994	61.7187	156.4215	128.0727	12.6745	
Normal05_MNI.img	BasalForebrain_L	2559	58.7207	166.6093	128.0083	18.4379	
Normal05_MNI.img	BasalForebrain_R	2518	47.7317	172.7479	129.1033	19.5697	
Normal05_MNI.img	Mesencephalon_L	4418	81.3125	180.5701	143.0567	11.9635	
Normal05_MNI.img	Mesencephalon_R	4452	65.2144	179.2005	141.3609	14.6783	
Normal05_MNI.img	Metencephalon_R	65772	24.3573	177.6870	108.8974	25.5446	
Normal05_MNI.img	Metencephalon_L	65332	20.8494	178.2206	108.6475	25.5828	
Normal05_MNI.img	Myelencephalon_L	2262	53.4599	165.3425	128.0465	20.8947	
Normal05_MNI.img	Myelencephalon_R	2603	63.0662	175.7471	130.1935	17.9591	
Normal05_MNI.img	WhiteMatter_L	198255	34.4445	181.1119	139.2443	11.9496	
Normal05_MNI.img	WhiteMatter_R	199823	36.7022	180.3054	138.9556	12.2904	
Normal05_MNI.img	Ventricle	27862	9.6383	134.5278	44.0545	22.8339	
Normal05_MNI.img	Sulcus_L	37981	6.1554	93.8063	33.7757	11.5886	
Normal05_MNI.img	Sulcus_R	33643	5.9334	99.3535	33.7724	11.8325	



Type1-L3 Statistics

Normal05_MNI.img	Frontal_L	65815	15.8124	158.8382	94.3287	22.4878	
Normal05_MNI.img	Frontal_R	65212	13.4613	165.0782	93.6374	21.8894	
Normal05_MNI.img	Parietal_L	34910	17.5164	148.6062	94.1145	23.8653	
Normal05_MNI.img	Parietal_R	36190	14.4882	146.6134	94.7050	23.1023	
Normal05_MNI.img	Temporal_L	52601	13.7789	144.6209	89.5091	19.3063	
Normal05_MNI.img	Temporal_R	49884	13.1182	151.8865	86.4761	18.6940	
Normal05_MNI.img	Limbic_L	25184	17.5993	155.3983	94.6599	19.8267	
Normal05_MNI.img	Limbic_R	26063	19.1690	149.8008	92.2944	20.5030	
Normal05_MNI.img	Occipital_L	28759	20.4455	146.9583	92.9424	22.5894	
Normal05_MNI.img	Occipital_R	30055	19.0203	142.0129	91.5961	22.5574	
Normal05_MNI.img	Insula_L	6407	15.6576	144.1748	89.7530	20.9536	
Normal05_MNI.img	Insula_R	6767	25.8515	156.4357	96.7314	19.8893	
Normal05_MNI.img	BasalGang_L	8686	42.7056	168.3651	121.3151	16.2152	
Normal05_MNI.img	BasalGang_R	9007	51.3124	166.3467	123.9844	14.6727	
Normal05_MNI.img	Thalamus_L	4901	59.1915	162.8367	130.2393	12.1797	
Normal05_MNI.img	Thalamus_R	4994	61.7187	156.4215	128.0727	12.6745	
Normal05_MNI.img	BasalForebrain_L	2559	58.7207	166.6093	128.0083	18.4379	
Normal05_MNI.img	BasalForebrain_R	2518	47.7317	172.7479	129.1033	19.5697	
Normal05_MNI.img	midbrain_L	4418	81.3125	180.5701	143.0567	11.9635	
Normal05_MNI.img	midbrain_R	4452	65.2144	179.2005	141.3609	14.6783	
Normal05_MNI.img	Cerebellum_R	58523	24.3573	174.8874	104.8510	23.8215	
Normal05_MNI.img	Cerebellum_L	58495	20.8494	178.2206	104.8586	24.0046	
Normal05_MNI.img	Pons_L	6837	58.6791	173.3473	141.0639	12.2616	
