Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

Normal03_MNI.img	Telencephalon_L	437842	13.7603	229.7151	114.1957	32.1419	
Normal03_MNI.img	Telencephalon_R	425609	11.2565	198.2890	114.8720	32.1924	
Normal03_MNI.img	Diencephalon_L	6642	43.2763	178.6403	130.8038	16.6391	
Normal03_MNI.img	Diencephalon_R	6621	57.0224	179.0971	129.9376	16.4519	
Normal03_MNI.img	Mesencephalon	8284	64.9469	182.9178	149.1397	14.7314	
Normal03_MNI.img	Metencephalon	132457	8.2658	230.1559	110.6327	28.9498	
Normal03_MNI.img	Myelencephalon	3890	53.4398	179.8742	135.0717	20.7374	
Normal03_MNI.img	CSF	84440	9.6486	153.0540	39.7690	16.7763	



Type1-L2 Statistics

Normal03_MNI.img	CerebralCortex_L	232769	13.7603	202.8732	90.7324	23.8680	
Normal03_MNI.img	CerebralCortex_R	222889	11.2565	198.2890	90.7897	23.6220	
Normal03_MNI.img	CerebralNucli_L	8881	51.7710	174.3728	123.9151	18.1995	
Normal03_MNI.img	CerebralNucli_R	9273	35.7141	173.0444	123.1758	18.3496	
Normal03_MNI.img	Thalamus_L	4459	73.3341	165.1230	132.7367	12.5509	
Normal03_MNI.img	Thalamus_R	4514	66.7342	170.9168	130.4903	13.4915	
Normal03_MNI.img	BasalForebrain_L	2183	43.2763	178.6403	126.8556	22.3024	
Normal03_MNI.img	BasalForebrain_R	2107	57.0224	179.0971	128.7534	21.4131	
Normal03_MNI.img	Mesencephalon_L	4250	81.1340	179.5294	150.3769	13.6430	
Normal03_MNI.img	Mesencephalon_R	4034	64.9469	182.9178	147.8363	15.6920	
Normal03_MNI.img	Metencephalon_R	66421	8.2658	175.0783	109.8028	29.3672	
Normal03_MNI.img	Metencephalon_L	66036	14.3838	230.1559	111.4675	28.4994	
Normal03_MNI.img	Myelencephalon_L	1773	53.4398	179.8742	135.7628	22.7083	
Normal03_MNI.img	Myelencephalon_R	2117	61.4234	166.7391	134.4929	18.9100	
Normal03_MNI.img	WhiteMatter_L	196192	24.9931	229.7151	141.5932	14.3747	
Normal03_MNI.img	WhiteMatter_R	193447	36.0418	189.5710	142.2215	14.1959	
Normal03_MNI.img	Ventricle	28514	10.3416	142.1966	42.4273	21.8787	
Normal03_MNI.img	Sulcus_L	30018	12.1887	153.0540	38.9678	13.7293	
Normal03_MNI.img	Sulcus_R	25908	9.6486	146.3839	37.7715	12.6316	



Type1-L3 Statistics

Normal03_MNI.img	Frontal_L	77014	13.7603	202.8732	91.2899	25.7208	
Normal03_MNI.img	Frontal_R	71570	11.2565	198.2890	94.3907	23.8566	
Normal03_MNI.img	Parietal_L	39796	19.1061	163.7329	87.7200	25.5115	
Normal03_MNI.img	Parietal_R	39301	15.0504	166.4875	87.9970	26.4479	
Normal03_MNI.img	Temporal_L	53500	18.8520	146.1992	90.4209	20.6074	
Normal03_MNI.img	Temporal_R	51969	18.1682	143.6564	88.0063	20.9899	
Normal03_MNI.img	Limbic_L	26143	18.2839	143.7918	93.3101	20.1871	
Normal03_MNI.img	Limbic_R	27714	13.7626	145.2901	91.0201	21.8154	
Normal03_MNI.img	Occipital_L	31748	17.6356	154.1103	91.5030	24.4278	
Normal03_MNI.img	Occipital_R	28074	17.3110	150.2596	90.2061	24.2245	
Normal03_MNI.img	Insula_L	5858	18.9130	145.8047	93.5992	23.0374	
Normal03_MNI.img	Insula_R	5639	24.5703	139.5826	96.0909	20.5291	
Normal03_MNI.img	BasalGang_L	7591	51.7710	174.3728	127.5740	16.6864	
Normal03_MNI.img	BasalGang_R	7895	35.7141	173.0444	125.8901	17.8860	
Normal03_MNI.img	Thalamus_L	4459	73.3341	165.1230	132.7367	12.5509	
Normal03_MNI.img	Thalamus_R	4514	66.7342	170.9168	130.4903	13.4915	
Normal03_MNI.img	BasalForebrain_L	2183	43.2763	178.6403	126.8556	22.3024	
Normal03_MNI.img	BasalForebrain_R	2107	57.0224	179.0971	128.7534	21.4131	
Normal03_MNI.img	midbrain_L	4250	81.1340	179.5294	150.3769	13.6430	
Normal03_MNI.img	midbrain_R	4034	64.9469	182.9178	147.8363	15.6920	
Normal03_MNI.img	Cerebellum_R	59302	8.2658	175.0783	105.5286	27.9174	
Normal03_MNI.img	Cerebellum_L	59594	14.3838	230.1559	107.7181	27.2189	
Normal03_MNI.img	Pons_L	6442	71.9380	175.2796	146.1527	11.7960	
