Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

Normal05.img	Telencephalon_L	421752	27.0000	910.0000	488.2351	129.2290	
Normal05.img	Telencephalon_R	423780	20.0000	928.0000	495.9479	130.4271	
Normal05.img	Diencephalon_L	7471	160.0000	661.0000	462.1854	60.4804	
Normal05.img	Diencephalon_R	7486	108.0000	685.0000	460.2262	65.3669	
Normal05.img	Mesencephalon	8914	121.0000	656.0000	483.3746	58.1960	
Normal05.img	Metencephalon	131444	46.0000	577.0000	350.8011	78.0480	
Normal05.img	Myelencephalon	4896	72.0000	492.0000	354.1969	54.9364	
Normal05.img	CSF	99854	5.0000	637.0000	147.9735	73.6706	



Type1-L2 Statistics

Normal05.img	CerebralCortex_L	212804	27.0000	837.0000	402.0996	111.9656	
Normal05.img	CerebralCortex_R	212567	20.0000	788.0000	408.7249	112.8641	
Normal05.img	CerebralNucli_L	10266	94.0000	668.0000	451.4726	70.4662	
Normal05.img	CerebralNucli_R	10730	151.0000	661.0000	454.7578	69.4213	
Normal05.img	Thalamus_L	4905	160.0000	608.0000	460.3686	48.7167	
Normal05.img	Thalamus_R	4985	122.0000	591.0000	457.8415	53.2801	
Normal05.img	BasalForebrain_L	2567	189.0000	661.0000	465.6576	78.0680	
Normal05.img	BasalForebrain_R	2501	108.0000	685.0000	464.9793	84.2458	
Normal05.img	Mesencephalon_L	4483	191.0000	656.0000	484.7913	54.1539	
Normal05.img	Mesencephalon_R	4431	121.0000	638.0000	481.9414	61.9849	
Normal05.img	Metencephalon_R	66057	52.0000	572.0000	351.1135	75.5713	
Normal05.img	Metencephalon_L	65388	46.0000	577.0000	350.4856	80.4714	
Normal05.img	Myelencephalon_L	2274	103.0000	482.0000	350.4086	61.1157	
Normal05.img	Myelencephalon_R	2622	72.0000	492.0000	357.4823	48.7118	
Normal05.img	WhiteMatter_L	198684	66.0000	910.0000	582.3917	69.8876	
Normal05.img	WhiteMatter_R	200484	71.0000	928.0000	590.6324	71.2167	
Normal05.img	Ventricle	28007	25.0000	637.0000	161.0937	95.4803	
Normal05.img	Sulcus_L	38134	5.0000	513.0000	142.5866	62.2423	
Normal05.img	Sulcus_R	33715	6.0000	499.0000	143.1677	62.6158	



Type1-L3 Statistics

Normal05.img	Frontal_L	65978	27.0000	837.0000	421.8839	116.4524	
Normal05.img	Frontal_R	65309	20.0000	788.0000	429.7229	114.6537	
Normal05.img	Parietal_L	35047	48.0000	717.0000	415.7003	122.2286	
Normal05.img	Parietal_R	36206	38.0000	717.0000	434.0282	122.1305	
Normal05.img	Temporal_L	52648	29.0000	669.0000	371.1630	90.9332	
Normal05.img	Temporal_R	49733	36.0000	687.0000	377.4115	93.7491	
Normal05.img	Limbic_L	25305	34.0000	682.0000	385.0377	91.7955	
Normal05.img	Limbic_R	26183	46.0000	685.0000	372.9102	93.2456	
Normal05.img	Occipital_L	28964	55.0000	751.0000	421.0146	122.6699	
Normal05.img	Occipital_R	30053	52.0000	729.0000	420.8745	123.1881	
Normal05.img	Insula_L	6363	35.0000	585.0000	351.3390	91.8616	
Normal05.img	Insula_R	6769	56.0000	615.0000	373.0260	85.7584	
Normal05.img	BasalGang_L	8767	94.0000	668.0000	466.0332	62.9154	
Normal05.img	BasalGang_R	9047	151.0000	661.0000	472.6193	56.3733	
Normal05.img	Thalamus_L	4905	160.0000	608.0000	460.3686	48.7167	
Normal05.img	Thalamus_R	4985	122.0000	591.0000	457.8415	53.2801	
Normal05.img	BasalForebrain_L	2567	189.0000	661.0000	465.6576	78.0680	
Normal05.img	BasalForebrain_R	2501	108.0000	685.0000	464.9793	84.2458	
Normal05.img	midbrain_L	4483	191.0000	656.0000	484.7913	54.1539	
Normal05.img	midbrain_R	4431	121.0000	638.0000	481.9414	61.9849	
Normal05.img	Cerebellum_R	58775	52.0000	548.0000	341.3275	73.0048	
Normal05.img	Cerebellum_L	58568	46.0000	557.0000	340.5080	77.5778	
Normal05.img	Pons_L	6820	105.0000	577.0000	436.1752	46.9628	
Normal05.img	Pons_R	7282	162.0000	572.0000	430.1031	42.1497	
Normal05.img	Medulla_L	2274	103.0000	482.0000	350.4086	61.1157	
Normal05.img	Medulla_R	2622	72.0000	492.0000	357.4823	48.7118	
Normal05.img	AnteriorWM_L	69242	122.0000	910.0000	602.8179	67.5812	
Normal05.img	AnteriorWM_R	70814	71.0000	928.0000	606.4865	67.5625	
