Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

Normal04_MNI.img	Telencephalon_L	469514	15.9700	209.8433	138.1356	35.1902	
Normal04_MNI.img	Telencephalon_R	476722	19.8932	215.0352	138.8936	34.0711	
Normal04_MNI.img	Diencephalon_L	7433	79.0842	201.4643	154.8116	16.9457	
Normal04_MNI.img	Diencephalon_R	7737	72.9301	214.6937	154.5304	16.8831	
Normal04_MNI.img	Mesencephalon	9662	75.6464	209.0672	168.9170	14.6712	
Normal04_MNI.img	Metencephalon	130359	29.8278	218.2846	131.3415	29.4624	
Normal04_MNI.img	Myelencephalon	4740	53.0482	195.0968	140.0643	27.1343	
Normal04_MNI.img	CSF	97325	14.5584	169.2937	48.9756	19.6458	



Type1-L2 Statistics

Normal04_MNI.img	CerebralCortex_L	243058	15.9700	188.2933	111.7712	27.7979	
Normal04_MNI.img	CerebralCortex_R	244599	19.8932	215.0352	112.6859	26.0319	
Normal04_MNI.img	CerebralNucli_L	11071	72.3123	195.6873	146.8027	17.5018	
Normal04_MNI.img	CerebralNucli_R	11802	72.0726	199.9774	147.0172	16.8305	
Normal04_MNI.img	Thalamus_L	5012	91.0790	188.7507	154.6646	12.8967	
Normal04_MNI.img	Thalamus_R	5128	79.8068	192.0017	153.3367	14.1601	
Normal04_MNI.img	BasalForebrain_L	2421	79.0842	201.4643	155.1162	23.1769	
Normal04_MNI.img	BasalForebrain_R	2609	72.9301	214.6937	156.8766	21.0446	
Normal04_MNI.img	Mesencephalon_L	4774	96.9063	204.5273	169.7581	12.9629	
Normal04_MNI.img	Mesencephalon_R	4888	75.6464	209.0672	168.0955	16.1241	
Normal04_MNI.img	Metencephalon_R	65324	29.8278	195.7607	130.8904	28.7186	
Normal04_MNI.img	Metencephalon_L	65035	32.4979	218.2846	131.7946	30.1842	
Normal04_MNI.img	Myelencephalon_L	2042	53.0482	195.0968	139.0539	29.5540	
Normal04_MNI.img	Myelencephalon_R	2698	59.5561	185.5140	140.8290	25.1216	
Normal04_MNI.img	WhiteMatter_L	215385	36.5370	209.8433	167.4419	12.8300	
Normal04_MNI.img	WhiteMatter_R	220321	37.6510	212.1301	167.5541	12.5210	
Normal04_MNI.img	Ventricle	24471	15.0033	169.2937	58.9656	28.4695	
Normal04_MNI.img	Sulcus_L	40922	16.8368	117.2307	45.2446	13.7810	
Normal04_MNI.img	Sulcus_R	31932	14.5584	129.2335	46.1012	14.4657	



Type1-L3 Statistics

Normal04_MNI.img	Frontal_L	75436	15.9700	185.2750	111.4602	29.3577	
Normal04_MNI.img	Frontal_R	74992	19.9657	181.4532	115.3049	26.3477	
Normal04_MNI.img	Parietal_L	40109	25.3183	183.0158	114.9010	29.0055	
Normal04_MNI.img	Parietal_R	40106	23.9479	215.0352	116.1425	27.5469	
Normal04_MNI.img	Temporal_L	55829	21.1581	165.1766	104.4449	26.3094	
Normal04_MNI.img	Temporal_R	54480	19.8932	171.6059	106.8733	23.4525	
Normal04_MNI.img	Limbic_L	27707	26.5072	188.2933	115.4864	25.2222	
Normal04_MNI.img	Limbic_R	30647	21.1530	178.3835	112.2310	27.5061	
Normal04_MNI.img	Occipital_L	38893	28.3708	176.5822	118.0991	24.0649	
Normal04_MNI.img	Occipital_R	39283	20.1445	178.8736	112.7526	24.5026	
Normal04_MNI.img	Insula_L	6584	21.9650	165.8454	109.5569	29.4172	
Normal04_MNI.img	Insula_R	6938	37.0266	176.5399	117.8057	26.2254	
Normal04_MNI.img	BasalGang_L	9571	76.7947	195.6873	149.4181	16.5093	
Normal04_MNI.img	BasalGang_R	9955	72.0726	199.9774	149.1116	16.6985	
Normal04_MNI.img	Thalamus_L	5012	91.0790	188.7507	154.6646	12.8967	
Normal04_MNI.img	Thalamus_R	5128	79.8068	192.0017	153.3367	14.1601	
Normal04_MNI.img	BasalForebrain_L	2421	79.0842	201.4643	155.1162	23.1769	
Normal04_MNI.img	BasalForebrain_R	2609	72.9301	214.6937	156.8766	21.0446	
Normal04_MNI.img	midbrain_L	4774	96.9063	204.5273	169.7581	12.9629	
Normal04_MNI.img	midbrain_R	4888	75.6464	209.0672	168.0955	16.1241	
Normal04_MNI.img	Cerebellum_R	56966	29.8278	191.3936	125.7164	26.7556	
Normal04_MNI.img	Cerebellum_L	57512	32.4979	203.8233	127.1133	28.5769	
Normal04_MNI.img	Pons_L	7523	89.3040	218.2846	167.5822	13.5962	
