Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

Normal01.img	Telencephalon_L	493725	0.0000e+00	65.0000	36.9363	10.4924	
Normal01.img	Telencephalon_R	502330	0.0000e+00	65.0000	36.5286	10.7366	
Normal01.img	Diencephalon_L	7581	6.0000	60.0000	43.1690	5.9644	
Normal01.img	Diencephalon_R	7577	15.0000	60.0000	42.5916	6.2438	
Normal01.img	Mesencephalon	9602	12.0000	64.0000	47.5377	6.0009	
Normal01.img	Metencephalon	146616	0.0000e+00	63.0000	35.3855	8.8239	
Normal01.img	Myelencephalon	4458	8.0000	54.0000	40.1139	6.9391	
Normal01.img	CSF	77847	0.0000e+00	50.0000	11.3740	7.1335	



Type1-L2 Statistics

Normal01.img	CerebralCortex_L	254103	0.0000e+00	57.0000	29.0534	7.7348	
Normal01.img	CerebralCortex_R	257106	0.0000e+00	58.0000	28.4129	7.9124	
Normal01.img	CerebralNucli_L	11769	15.0000	59.0000	40.3957	5.9992	
Normal01.img	CerebralNucli_R	11873	10.0000	58.0000	40.3032	5.9768	
Normal01.img	Thalamus_L	4940	19.0000	55.0000	43.7306	4.8860	
Normal01.img	Thalamus_R	4980	15.0000	54.0000	42.8685	5.1037	
Normal01.img	BasalForebrain_L	2641	6.0000	60.0000	42.1181	7.4681	
Normal01.img	BasalForebrain_R	2597	15.0000	60.0000	42.0605	7.9601	
Normal01.img	Mesencephalon_L	4838	21.0000	63.0000	47.7021	5.4788	
Normal01.img	Mesencephalon_R	4765	12.0000	64.0000	47.3707	6.4839	
Normal01.img	Metencephalon_R	72913	0.0000e+00	63.0000	35.6606	8.7190	
Normal01.img	Metencephalon_L	73703	1.0000	63.0000	35.1133	8.9181	
Normal01.img	Myelencephalon_L	2238	9.0000	53.0000	39.4038	7.8333	
Normal01.img	Myelencephalon_R	2220	8.0000	54.0000	40.8299	5.8147	
Normal01.img	WhiteMatter_L	227854	3.0000	65.0000	45.5486	5.0874	
Normal01.img	WhiteMatter_R	233352	6.0000	65.0000	45.2785	5.2439	
Normal01.img	Ventricle	23989	0.0000e+00	50.0000	14.0529	9.3228	
Normal01.img	Sulcus_L	27708	0.0000e+00	34.0000	10.4201	5.5524	
Normal01.img	Sulcus_R	26151	0.0000e+00	37.0000	9.9274	5.4267	



Type1-L3 Statistics

Normal01.img	Frontal_L	79107	0.0000e+00	54.0000	29.3064	7.6651	
Normal01.img	Frontal_R	79012	1.0000	52.0000	29.2981	7.6272	
Normal01.img	Parietal_L	41690	0.0000e+00	51.0000	28.0667	8.0613	
Normal01.img	Parietal_R	43403	0.0000e+00	49.0000	27.3378	8.2058	
Normal01.img	Temporal_L	64042	1.0000	57.0000	28.7051	7.1720	
Normal01.img	Temporal_R	59075	0.0000e+00	56.0000	27.7157	7.3219	
Normal01.img	Limbic_L	31495	2.0000	53.0000	31.8114	7.6153	
Normal01.img	Limbic_R	32502	1.0000	58.0000	30.6076	7.9743	
Normal01.img	Occipital_L	31992	0.0000e+00	51.0000	27.9176	8.0405	
Normal01.img	Occipital_R	36947	0.0000e+00	50.0000	27.0576	8.3108	
Normal01.img	Insula_L	7477	2.0000	50.0000	29.3306	7.3800	
Normal01.img	Insula_R	8200	0.0000e+00	52.0000	29.5645	8.0873	
Normal01.img	BasalGang_L	10072	16.0000	59.0000	41.3956	5.6176	
Normal01.img	BasalGang_R	9843	10.0000	58.0000	41.4559	5.5900	
Normal01.img	Thalamus_L	4940	19.0000	55.0000	43.7306	4.8860	
Normal01.img	Thalamus_R	4980	15.0000	54.0000	42.8685	5.1037	
Normal01.img	BasalForebrain_L	2641	6.0000	60.0000	42.1181	7.4681	
Normal01.img	BasalForebrain_R	2597	15.0000	60.0000	42.0605	7.9601	
Normal01.img	midbrain_L	4838	21.0000	63.0000	47.7021	5.4788	
Normal01.img	midbrain_R	4765	12.0000	64.0000	47.3707	6.4839	
Normal01.img	Cerebellum_R	64775	0.0000e+00	58.0000	34.3725	8.2132	
Normal01.img	Cerebellum_L	66114	1.0000	56.0000	33.9017	8.4443	
Normal01.img	Pons_L	7589	13.0000	63.0000	45.6689	5.1960	
Normal01.img	Pons_R	8139	16.0000	63.0000	45.9125	5.0867	
Normal01.img	Medulla_L	2238	9.0000	53.0000	39.4038	7.8333	
Normal01.img	Medulla_R	2220	8.0000	54.0000	40.8299	5.8147	
Normal01.img	AnteriorWM_L	78765	7.0000	59.0000	46.0958	4.8257	
