Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

AD02_MNI.img	Telencephalon_L	476487	3.6560	281.3456	66.3557	22.2825	
AD02_MNI.img	Telencephalon_R	482037	3.1003	248.1455	65.5297	22.5176	
AD02_MNI.img	Diencephalon_L	6631	15.6153	113.4903	76.5400	13.1559	
AD02_MNI.img	Diencephalon_R	6185	17.9159	110.7398	74.9263	14.4584	
AD02_MNI.img	Mesencephalon	6561	18.8603	129.5411	87.1641	13.1978	
AD02_MNI.img	Metencephalon	115067	8.5101	176.5379	67.5414	17.1222	
AD02_MNI.img	Myelencephalon	3685	27.8523	107.6280	77.7069	12.0118	
AD02_MNI.img	CSF	145779	3.1327	83.5050	22.7087	9.4512	



Type1-L2 Statistics

AD02_MNI.img	CerebralCortex_L	247979	3.6560	142.9570	51.5318	15.8043	
AD02_MNI.img	CerebralCortex_R	248853	3.1003	163.8592	51.4903	16.0782	
AD02_MNI.img	CerebralNucli_L	9974	12.0754	103.9038	71.2264	16.0186	
AD02_MNI.img	CerebralNucli_R	15169	6.5592	105.0120	53.8919	27.1004	
AD02_MNI.img	Thalamus_L	4880	15.6153	113.4903	77.7964	10.8539	
AD02_MNI.img	Thalamus_R	4231	19.2101	110.7398	78.6474	9.6869	
AD02_MNI.img	BasalForebrain_L	1751	21.9463	106.1599	73.0387	17.6198	
AD02_MNI.img	BasalForebrain_R	1954	17.9159	106.8821	66.8690	19.0685	
AD02_MNI.img	Mesencephalon_L	3261	30.5650	129.5411	89.0398	12.7215	
AD02_MNI.img	Mesencephalon_R	3300	18.8603	123.1891	85.3106	13.3965	
AD02_MNI.img	Metencephalon_R	57719	9.5619	109.4371	67.8503	16.7923	
AD02_MNI.img	Metencephalon_L	57348	8.5101	176.5379	67.2306	17.4425	
AD02_MNI.img	Myelencephalon_L	1711	27.8523	105.2055	77.0829	12.9836	
AD02_MNI.img	Myelencephalon_R	1974	34.5157	107.6280	78.2478	11.0726	
AD02_MNI.img	WhiteMatter_L	218534	8.7176	281.3456	82.9545	16.1703	
AD02_MNI.img	WhiteMatter_R	218015	9.9218	248.1455	82.3646	16.0339	
AD02_MNI.img	Ventricle	84574	5.7554	83.5050	22.4332	10.1251	
AD02_MNI.img	Sulcus_L	29798	3.8394	64.5700	23.5519	8.3017	
AD02_MNI.img	Sulcus_R	31407	3.1327	66.6276	22.6508	8.5017	



Type1-L3 Statistics

AD02_MNI.img	Frontal_L	73792	4.9793	142.9570	51.1256	16.2833	
AD02_MNI.img	Frontal_R	69573	3.1003	163.8592	51.5300	17.1474	
AD02_MNI.img	Parietal_L	37777	5.2550	93.9442	54.9384	14.6666	
AD02_MNI.img	Parietal_R	43910	9.3945	101.5293	55.8981	14.9092	
AD02_MNI.img	Temporal_L	58584	6.7577	96.2653	48.7713	15.2992	
AD02_MNI.img	Temporal_R	60225	7.1807	98.2274	48.3439	15.3014	
AD02_MNI.img	Limbic_L	32906	9.0847	101.3496	51.5288	15.5743	
AD02_MNI.img	Limbic_R	36491	3.2305	102.5369	47.9087	16.0820	
AD02_MNI.img	Occipital_L	39426	3.6560	94.3567	54.0740	15.7309	
AD02_MNI.img	Occipital_R	33595	10.6194	92.9737	55.8038	13.7137	
AD02_MNI.img	Insula_L	6722	5.9876	92.2198	48.0388	17.1309	
AD02_MNI.img	Insula_R	6431	6.0675	95.9759	49.7717	18.0369	
AD02_MNI.img	BasalGang_L	8746	14.9738	103.9038	72.4323	15.8504	
AD02_MNI.img	BasalGang_R	13797	6.5592	105.0120	53.4075	27.9530	
AD02_MNI.img	Thalamus_L	4880	15.6153	113.4903	77.7964	10.8539	
AD02_MNI.img	Thalamus_R	4231	19.2101	110.7398	78.6474	9.6869	
AD02_MNI.img	BasalForebrain_L	1751	21.9463	106.1599	73.0387	17.6198	
AD02_MNI.img	BasalForebrain_R	1954	17.9159	106.8821	66.8690	19.0685	
AD02_MNI.img	midbrain_L	3261	30.5650	129.5411	89.0398	12.7215	
AD02_MNI.img	midbrain_R	3300	18.8603	123.1891	85.3106	13.3965	
AD02_MNI.img	Cerebellum_R	51780	9.5619	107.6770	66.0060	16.5153	
AD02_MNI.img	Cerebellum_L	51341	8.5101	176.5379	65.2723	17.1338	
AD02_MNI.img	Pons_L	6007	36.3890	110.6456	83.9676	9.0852	
AD02_MNI.img	Pons_R	5939	40.4206	109.4371	83.9295	8.6155	
