Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

AD02.img	Telencephalon_L	521999	20.0000	4039.0000	642.6294	244.2061	
AD02.img	Telencephalon_R	527634	0.0000e+00	3634.0000	654.5982	249.7700	
AD02.img	Diencephalon_L	7438	105.0000	911.0000	576.7619	107.7965	
AD02.img	Diencephalon_R	6761	94.0000	891.0000	564.9780	115.2835	
AD02.img	Mesencephalon	7148	107.0000	1053.0000	634.9848	122.8546	
AD02.img	Metencephalon	126221	40.0000	1569.0000	522.4508	126.5933	
AD02.img	Myelencephalon	3962	121.0000	750.0000	518.9561	89.9894	
AD02.img	CSF	159977	0.0000e+00	998.0000	201.9849	100.6573	



Type1-L2 Statistics

AD02.img	CerebralCortex_L	271443	20.0000	2654.0000	517.3075	185.0030	
AD02.img	CerebralCortex_R	271739	0.0000e+00	2480.0000	535.3640	197.8612	
AD02.img	CerebralNucli_L	10879	54.0000	857.0000	569.4833	131.6846	
AD02.img	CerebralNucli_R	16613	30.0000	898.0000	438.5083	221.6513	
AD02.img	Thalamus_L	5476	105.0000	911.0000	583.8317	90.1780	
AD02.img	Thalamus_R	4611	110.0000	891.0000	582.5635	84.3127	
AD02.img	BasalForebrain_L	1962	126.0000	869.0000	557.0274	144.3174	
AD02.img	BasalForebrain_R	2151	94.0000	851.0000	527.2800	156.3899	
AD02.img	Mesencephalon_L	3619	161.0000	1053.0000	643.5847	119.5133	
AD02.img	Mesencephalon_R	3529	107.0000	1000.0000	626.1665	125.5789	
AD02.img	Metencephalon_R	63151	45.0000	866.0000	530.5951	123.7176	
AD02.img	Metencephalon_L	63071	40.0000	1569.0000	514.2962	128.8940	
AD02.img	Myelencephalon_L	1836	133.0000	750.0000	509.5287	95.1565	
AD02.img	Myelencephalon_R	2127	121.0000	735.0000	527.0928	84.4363	
AD02.img	WhiteMatter_L	239678	55.0000	4039.0000	787.8802	226.2891	
AD02.img	WhiteMatter_R	239284	49.0000	3634.0000	805.0067	218.3652	
AD02.img	Ventricle	92529	24.0000	998.0000	178.9893	90.5329	
AD02.img	Sulcus_L	32661	19.0000	823.0000	237.7091	107.0328	
AD02.img	Sulcus_R	34787	0.0000e+00	879.0000	229.6096	103.2936	



Type1-L3 Statistics

AD02.img	Frontal_L	80761	20.0000	2654.0000	547.0159	201.3280	
AD02.img	Frontal_R	76228	0.0000e+00	2480.0000	564.8231	220.5799	
AD02.img	Parietal_L	41342	20.0000	1066.0000	556.6277	168.8067	
AD02.img	Parietal_R	47788	41.0000	1189.0000	596.3116	178.9357	
AD02.img	Temporal_L	64304	39.0000	1016.0000	467.9574	164.4293	
AD02.img	Temporal_R	65847	40.0000	1292.0000	489.3236	177.7574	
AD02.img	Limbic_L	35924	26.0000	1117.0000	486.4237	166.7148	
AD02.img	Limbic_R	39705	28.0000	1270.0000	456.1969	175.2309	
AD02.img	Occipital_L	43169	33.0000	1043.0000	542.0560	186.7952	
AD02.img	Occipital_R	36718	44.0000	1050.0000	580.1864	178.4858	
AD02.img	Insula_L	7276	32.0000	804.0000	401.9517	152.3143	
AD02.img	Insula_R	6902	52.0000	828.0000	433.5570	162.8042	
AD02.img	BasalGang_L	9549	93.0000	857.0000	579.7761	128.8483	
AD02.img	BasalGang_R	15165	30.0000	898.0000	434.1136	227.6743	
AD02.img	Thalamus_L	5476	105.0000	911.0000	583.8317	90.1780	
AD02.img	Thalamus_R	4611	110.0000	891.0000	582.5635	84.3127	
AD02.img	BasalForebrain_L	1962	126.0000	869.0000	557.0274	144.3174	
AD02.img	BasalForebrain_R	2151	94.0000	851.0000	527.2800	156.3899	
AD02.img	midbrain_L	3619	161.0000	1053.0000	643.5847	119.5133	
AD02.img	midbrain_R	3529	107.0000	1000.0000	626.1665	125.5789	
AD02.img	Cerebellum_R	56713	45.0000	855.0000	523.4905	125.8723	
AD02.img	Cerebellum_L	56321	40.0000	1569.0000	505.3095	131.1002	
AD02.img	Pons_L	6750	146.0000	864.0000	589.2791	74.3739	
AD02.img	Pons_R	6438	161.0000	866.0000	593.1810	78.7831	
AD02.img	Medulla_L	1836	133.0000	750.0000	509.5287	95.1565	
AD02.img	Medulla_R	2127	121.0000	735.0000	527.0928	84.4363	
AD02.img	AnteriorWM_L	79773	116.0000	4039.0000	865.0305	318.3230	
AD02.img	AnteriorWM_R	75973	49.0000	3634.0000	885.3280	290.7374	
