Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

AD01_MNI.img	Telencephalon_L	455861	5.8420	250.5325	137.6467	40.4151	
AD01_MNI.img	Telencephalon_R	467383	6.0359	224.3933	136.8663	40.2884	
AD01_MNI.img	Diencephalon_L	6959	45.1105	213.8355	163.8511	22.1496	
AD01_MNI.img	Diencephalon_R	6731	63.8204	233.4724	164.7131	20.6788	
AD01_MNI.img	Mesencephalon	8046	69.7865	223.0372	180.6058	17.7303	
AD01_MNI.img	Metencephalon	129207	4.9576	221.3557	136.8430	33.7772	
AD01_MNI.img	Myelencephalon	3668	49.5981	237.7016	165.0182	25.7373	
AD01_MNI.img	CSF	169160	3.3090	170.4719	36.4796	18.2554	



Type1-L2 Statistics

AD01_MNI.img	CerebralCortex_L	238178	5.8420	250.5325	108.5376	31.0527	
AD01_MNI.img	CerebralCortex_R	245591	6.0359	199.7968	106.9607	30.1191	
AD01_MNI.img	CerebralNucli_L	10631	12.7858	201.9020	137.9860	42.0840	
AD01_MNI.img	CerebralNucli_R	10410	12.0177	204.4256	149.5395	28.3457	
AD01_MNI.img	Thalamus_L	4809	45.1105	199.5657	165.7849	19.7193	
AD01_MNI.img	Thalamus_R	4614	70.8262	201.1146	165.7174	17.7418	
AD01_MNI.img	BasalForebrain_L	2150	62.4140	213.8355	159.5259	26.2893	
AD01_MNI.img	BasalForebrain_R	2117	63.8204	233.4724	162.5243	25.8178	
AD01_MNI.img	Mesencephalon_L	4037	105.9385	220.6679	181.7808	15.9198	
AD01_MNI.img	Mesencephalon_R	4009	69.7865	223.0372	179.4227	19.3112	
AD01_MNI.img	Metencephalon_R	64821	4.9576	214.3547	136.9551	33.6111	
AD01_MNI.img	Metencephalon_L	64386	8.2441	221.3557	136.7302	33.9432	
AD01_MNI.img	Myelencephalon_L	1794	52.3178	237.7016	165.0865	29.0254	
AD01_MNI.img	Myelencephalon_R	1874	49.5981	205.5784	164.9528	22.1365	
AD01_MNI.img	WhiteMatter_L	207052	15.7937	225.9064	171.1142	17.3553	
AD01_MNI.img	WhiteMatter_R	211382	25.6863	224.3933	170.9874	16.8571	
AD01_MNI.img	Ventricle	101424	3.3090	170.4719	34.2112	19.5009	
AD01_MNI.img	Sulcus_L	35135	4.7726	124.1992	39.9513	15.6962	
AD01_MNI.img	Sulcus_R	32601	4.3417	113.2683	39.7955	15.5113	



Type1-L3 Statistics

AD01_MNI.img	Frontal_L	79117	10.9507	250.5325	109.4904	30.2921	
AD01_MNI.img	Frontal_R	80314	7.2983	199.7968	109.8666	29.0209	
AD01_MNI.img	Parietal_L	39212	7.5694	186.5430	108.3192	32.9755	
AD01_MNI.img	Parietal_R	41437	13.1690	185.4535	105.9309	32.1672	
AD01_MNI.img	Temporal_L	52188	12.6271	183.6384	107.0457	29.2313	
AD01_MNI.img	Temporal_R	55250	14.1207	177.8961	104.2221	28.5262	
AD01_MNI.img	Limbic_L	28740	9.7312	189.6803	108.5288	33.0232	
AD01_MNI.img	Limbic_R	30229	8.5723	194.8643	107.6203	31.5266	
AD01_MNI.img	Occipital_L	34237	5.8420	194.5376	108.9761	31.7365	
AD01_MNI.img	Occipital_R	32948	6.0359	187.3317	105.5072	31.0032	
AD01_MNI.img	Insula_L	5935	15.6003	171.7490	113.7471	29.0597	
AD01_MNI.img	Insula_R	6819	20.6000	175.1394	112.1108	30.2406	
AD01_MNI.img	BasalGang_L	9380	12.7858	201.9020	138.2214	44.3209	
AD01_MNI.img	BasalGang_R	9004	12.0177	204.4256	151.0171	29.2879	
AD01_MNI.img	Thalamus_L	4809	45.1105	199.5657	165.7849	19.7193	
AD01_MNI.img	Thalamus_R	4614	70.8262	201.1146	165.7174	17.7418	
AD01_MNI.img	BasalForebrain_L	2150	62.4140	213.8355	159.5259	26.2893	
AD01_MNI.img	BasalForebrain_R	2117	63.8204	233.4724	162.5243	25.8178	
AD01_MNI.img	midbrain_L	4037	105.9385	220.6679	181.7808	15.9198	
AD01_MNI.img	midbrain_R	4009	69.7865	223.0372	179.4227	19.3112	
AD01_MNI.img	Cerebellum_R	57621	4.9576	214.0224	132.1389	32.2201	
AD01_MNI.img	Cerebellum_L	57949	8.2441	211.5063	132.5345	32.8454	
AD01_MNI.img	Pons_L	6437	79.3138	221.3557	174.5021	15.0674	
AD01_MNI.img	Pons_R	7200	87.0110	214.3547	175.4986	13.8299	
